TIme,Amp
0.66,11.76
0.72,11.91
0.67,12.07
0.76,11.72
0.85,11.91
1.05,11.78
1.13,11.87
1.22,12.19
1.13,12.06
1.40,12.23
1.37,12.11
1.59,11.93
1.74,11.79
1.86,11.86
2.01,11.78
2.17,11.90
2.35,12.01
2.53,11.86
2.65,11.82
2.79,12.02
2.89,12.14
2.86,11.95
3.06,12.16
2.99,12.01
3.02,11.93
3.29,12.14
3.43,12.20
3.38,0.16
3.73,12.07
3.81,12.24
3.99,11.72
4.07,11.87
4.17,11.68
4.25,11.89
4.19,11.61
4.34,12.01
4.42,12.16
4.36,11.81
4.52,12.24
4.65,12.06
4.71,12.21
4.87,11.99
4.89,12.10
4.89,12.22
5.04,12.70
5.07,12.56
5.09,12.31
5.27,11.85
5.35,11.63
5.50,11.62
5.66,12.08
5.74,11.96
5.73,12.22
5.85,11.85
5.91,12.05
5.98,12.18
6.03,12.28
6.12,12.02
6.21,12.28
6.21,12.16
6.29,11.88
6.27,12.03
6.33,11.75
6.46,12.35
6.45,12.53
6.60,12.22
6.60,11.99
6.56,11.86
6.65,12.15
6.79,12.30
6.74,12.74
6.75,12.62
6.88,12.43
6.91,12.21
7.00,12.35
7.06,12.04
7.11,11.93
7.19,12.26
7.20,12.38
7.29,12.12
7.38,11.94
7.35,12.27
7.46,11.91
7.37,12.48
7.46,12.15
7.47,12.03
7.57,11.96
7.74,0.25
7.67,12.36
7.80,11.76
7.83,0.40
7.85,0.26
7.87,0.11
7.92,0.02
8.05,11.93
7.99,12.00
8.21,12.42
8.20,12.27
8.18,12.15
8.28,12.66
8.30,12.55
8.34,12.38
8.39,12.25
8.50,11.93
8.69,12.29
8.71,12.63
8.71,12.47
8.75,12.40
8.87,12.12
8.91,12.28
9.03,12.47
9.02,12.64
9.07,12.32
9.13,12.19
9.20,-0.01
9.32,12.55
9.34,12.40
9.29,12.70
9.41,-0.29
9.40,12.25
9.45,12.11
9.42,11.98
9.43,-0.19
9.59,11.92
9.58,12.26
9.63,12.09
9.72,11.77
9.80,11.95
9.75,12.31
9.90,11.80
10.01,11.96
10.01,12.11
10.16,11.83
10.25,11.92
10.46,11.84
10.59,11.76
10.60,11.94
10.59,11.86
10.85,11.84
10.87,12.02
10.87,12.38
10.89,12.23
10.87,12.15
10.99,12.56
11.00,12.67
11.22,12.10
11.30,11.94
11.43,12.88
11.47,12.70
11.52,12.56
11.51,12.44
11.51,12.32
11.51,12.19
11.56,12.09
11.63,11.98
11.54,12.89
11.68,11.81
11.65,12.64
11.64,12.50
11.64,12.38
11.65,12.29
11.68,12.16
11.87,11.94
11.96,12.12
12.04,12.18
12.10,11.97
12.25,12.51
12.26,12.35
12.23,12.24
12.23,12.13
12.25,12.80
12.26,12.66
12.26,12.00
12.37,0.33
12.45,12.25
